State Code,State Name,Year,Month,Intra_State_No_Of_Suppliers,Intra_State_No_Of_Eway_Bills,Intra_State_Asset_Value_Rs._In_Cr,Inter_State_Outward_No_Of_Suppliers,Inter_State_Outward_No_Of_Eway_Bills,Inter_State_Outward_Asset_Value_Rs_ In_Cr,Inter_State_Inward_No_Of_Suppliers,Inter_State_Inward_No_Of_Eway_Bills,Inter_State_Inward_Asset_Value_Rs._In_Cr
2,HIMACHAL PRADESH,2019,8,6745,226419,4239,4704,255040,9935,18498,274166,7738
3,PUNJAB,2019,8,47904,1153924,25497,43150,773560,20606,59185,723804,22544
4,CHANDIGARH,2019,8,2048,26774,407,4676,73481,1253,7760,105758,2072
5,UTTARAKHAND,2019,8,10025,457775,8789,7188,314306,14599,21346,371250,10858
6,HARYANA,2019,8,58226,2244517,38899,51983,2081575,51306,84313,1482335,50608
7,DELHI,2019,8,54975,783944,26194,114460,1540366,33502,109145,1425951,40342
8,RAJASTHAN,2019,8,59501,1286055,24938,43219,1133443,25020,80492,923351,28848
9,UTTAR PRADESH,2019,8,98349,2796736,54107,66320,1166448,47743,151314,1802511,63728
10,BIHAR,2019,8,6043,341071,6757,5872,56995,2006,47597,573506,12542
11,SIKKIM,2019,8,108,3671,44,163,9449,2258,1479,27476,733
12,ARUNACHAL PRADESH,2019,8,106,2229,39,167,1158,59,2516,25290,426
13,NAGALAND,2019,8,71,678,21,234,1884,72,2290,21952,452
14,MANIPUR,2019,8,48,2968,51,86,288,10,2364,34168,562
15,MIZORAM,2019,8,19,666,10,99,883,235,1599,23811,355
16,TRIPURA,2019,8,778,18064,300,305,1919,177,4323,42235,780
17,MEGHALAYA,2019,8,279,9506,166,362,25215,423,3188,38462,681
18,ASSAM,2019,8,9991,375892,6566,8479,169041,5602,24944,304884,8485
19,WEST BENGAL,2019,8,37280,1226704,33806,36512,650330,26567,58169,1074585,34188
20,JHARKHAND,2019,8,7691,378580,7016,6244,157855,9532,23061,319252,9284
21,ODISHA,2019,8,11440,578006,11753,5036,188633,17122,27095,334472,12854
22,CHHATTISGARH,2019,8,4595,151197,4282,6935,149237,9414,20966,349854,9404
23,MADHYA PRADESH,2019,8,13482,267842,5893,17058,340879,15488,59519,669207,19959
24,GUJARAT,2019,8,105942,2670030,66175,114473,3420764,83060,112104,1322808,67661
25,DAMAN AND DIU,2019,8,1125,37110,993,1654,183204,4328,2295,76394,3965
26,DADRA AND NAGAR HAVELI,2019,8,1268,56622,1733,1936,241967,8518,2824,109427,6630
27,MAHARASHTRA,2019,8,114127,4505808,104845,97759,2995266,96245,173578,2202613,95962
29,KARNATAKA,2019,8,80587,3013912,50584,41853,1374714,41655,92323,1471611,48991
30,GOA,2019,8,1384,59018,934,1381,51111,3425,6549,96769,3066
31,LAKSHADWEEP,2019,8,1,5,1,1,1,0,27,163,3
32,KERALA,2019,8,32040,1083507,15918,12652,161727,6657,50378,740444,16761
33,TAMIL NADU,2019,8,73795,3393522,66935,64566,1699413,61007,100080,1524926,59636
34,PUDUCHERRY,2019,8,899,32568,930,1757,93392,2746,5324,96353,2500
35,ANDAMAN AND NICOBAR,2019,8,13,186,21,61,212,23,876,8721,184
36,TELANGANA,2019,8,27401,1153247,22078,24742,529848,20821,52776,818351,27126
37,ANDHRA PRADESH,2019,8,29221,1124568,18696,18714,366648,24378,60382,662468,25330
97,Other Territory,2019,8,4,48,28,20,2283,854,503,7967,1108
1,JAMMU AND KASHMIR,2019,7,4704,169242,2820,2186,32782,2536,17375,181854,5216
2,HIMACHAL PRADESH,2019,7,6937,239416,4551,4749,267112,10310,19053,278086,7860
3,PUNJAB,2019,7,47646,1190592,26434,42864,741975,20892,58900,705330,22699
4,CHANDIGARH,2019,7,2101,26891,382,4702,73811,1295,7606,102087,2075
5,UTTARAKHAND,2019,7,10111,479367,7965,6912,289545,14073,20395,379314,11033
6,HARYANA,2019,7,58060,2425898,40937,51893,2120736,51901,84528,1483006,51529
7,DELHI,2019,7,54972,798820,28226,114984,1486349,33668,109681,1366284,39518
8,RAJASTHAN,2019,7,61451,1376745,26480,44758,1190762,26260,83354,994455,30183
9,UTTAR PRADESH,2019,7,98232,2777940,58091,65622,1142613,46260,149140,1761790,60993
10,BIHAR,2019,7,6092,338937,6609,6037,57720,1998,44609,467463,11775
11,SIKKIM,2019,7,109,3725,49,141,8191,2006,1447,25893,687
12,ARUNACHAL PRADESH,2019,7,102,2112,29,172,1224,80,2374,23134,378
13,NAGALAND,2019,7,73,878,36,231,1735,69,2254,21538,430
14,MANIPUR,2019,7,44,3217,53,85,334,8,2317,36054,559
15,MIZORAM,2019,7,19,684,8,90,984,239,1483,22614,278
16,TRIPURA,2019,7,739,16552,277,316,1832,180,3610,33957,627
17,MEGHALAYA,2019,7,297,8684,160,359,21718,384,2929,33163,621
18,ASSAM,2019,7,9865,342191,5841,8109,167286,5428,21717,234535,7691
19,WEST BENGAL,2019,7,37279,1241782,35205,36247,629936,26941,56409,974924,34240
20,JHARKHAND,2019,7,8002,377608,8068,6283,168834,10210,22327,291927,10053
21,ODISHA,2019,7,11459,634613,12574,5190,202661,17914,26291,313286,13086
22,CHHATTISGARH,2019,7,4814,171558,4696,7001,152047,10147,21009,340490,9920
23,MADHYA PRADESH,2019,7,14354,295428,6793,17777,343464,16267,61549,745099,21773
24,GUJARAT,2019,7,109865,2944017,71400,116493,3229220,83886,115834,1404796,68832
25,DAMAN AND DIU,2019,7,1093,37478,1052,1654,191285,4567,2319,79256,5587
26,DADRA AND NAGAR HAVELI,2019,7,1267,58635,1922,1942,260327,9058,2794,114474,7068
27,MAHARASHTRA,2019,7,113147,4525277,107533,98450,2988957,97504,173973,2216193,95969
29,KARNATAKA,2019,7,81185,3132855,52724,42553,1378442,42293,93333,1475739,49868
30,GOA,2019,7,1406,55041,876,1498,54934,3687,6340,97732,3160
31,LAKSHADWEEP,2019,7,0,0,0,3,6,0,26,183,10
32,KERALA,2019,7,31857,1070981,15381,13174,170390,6800,49415,732943,16097
33,TAMIL NADU,2019,7,74017,3521286,68670,65211,1731041,61700,101068,1572950,61185
34,PUDUCHERRY,2019,7,928,33794,891,1788,101267,2850,5366,99706,2443
35,ANDAMAN AND NICOBAR,2019,7,15,180,7,57,260,27,910,8179,183
36,TELANGANA,2019,7,27481,1151730,22465,24995,535249,20875,52785,791721,27471
37,ANDHRA PRADESH,2019,7,29165,1086270,18306,19002,378321,25195,60372,691412,25869
97,Other Territory,2019,7,2,70,27,18,3070,1092,572,8094,1261
1,JAMMU AND KASHMIR,2019,6,4610,159938,2678,2041,31056,2378,17023,169703,4963
2,HIMACHAL PRADESH,2019,6,6823,232954,4391,4692,248567,9787,19398,268593,7715
3,PUNJAB,2019,6,46793,1140396,25768,41792,699306,20259,60040,681187,22494
4,CHANDIGARH,2019,6,2034,25840,352,4671,68983,1198,7595,98361,2142
5,UTTARAKHAND,2019,6,9927,498824,8463,6960,310789,15300,21042,394166,11702
6,HARYANA,2019,6,56558,2184379,38733,50686,2019952,51262,84895,1431198,49052
7,DELHI,2019,6,52374,750435,27621,111766,1410747,32310,106019,1277756,37680
8,RAJASTHAN,2019,6,60444,1381071,27632,44137,1166658,25841,83034,948378,30082
9,UTTAR PRADESH,2019,6,97956,2868798,58968,64316,1102618,44773,153840,1752410,60573
10,BIHAR,2019,6,6127,357836,7477,5930,58098,2255,47683,505194,12959
11,SIKKIM,2019,6,115,3683,62,154,8155,2118,1469,25881,711
12,ARUNACHAL PRADESH,2019,6,106,2027,34,167,1137,52,2377,23500,380
13,NAGALAND,2019,6,66,748,21,222,2204,72,2210,20783,446
14,MANIPUR,2019,6,40,3499,59,82,330,9,2346,32356,564
15,MIZORAM,2019,6,19,830,9,83,721,120,1547,23668,345
16,TRIPURA,2019,6,710,16696,264,285,1612,145,3526,29251,596
17,MEGHALAYA,2019,6,278,9383,151,337,24742,421,2892,32061,635
18,ASSAM,2019,6,10013,358538,6254,8227,162262,5131,21541,227541,8025
19,WEST BENGAL,2019,6,35460,1182065,33369,34887,584489,25417,53648,804000,32311
20,JHARKHAND,2019,6,7884,384972,8615,6678,184880,10819,22096,300440,10739
21,ODISHA,2019,6,11088,619843,12539,4888,204789,17628,26194,314899,13154
22,CHHATTISGARH,2019,6,4789,180514,4787,6928,157240,10640,20688,310778,10163
23,MADHYA PRADESH,2019,6,14127,303653,7469,17084,336204,16365,60425,697697,22432
24,GUJARAT,2019,6,106017,2780134,70155,113892,2966830,80702,112015,1311037,62691
25,DAMAN AND DIU,2019,6,1095,33675,1032,1664,176602,4327,2254,73195,5451
26,DADRA AND NAGAR HAVELI,2019,6,1238,51681,1730,1920,234239,8541,2863,108347,6992
27,MAHARASHTRA,2019,6,110305,4321631,107323,94867,2827345,96504,170741,2101812,92414
29,KARNATAKA,2019,6,78392,2917668,51333,40890,1283317,41761,90559,1398949,47473
30,GOA,2019,6,1388,57072,943,1419,53006,3855,6342,99160,3121
31,LAKSHADWEEP,2019,6,1,3,36,0,0,0,25,171,6
32,KERALA,2019,6,30710,981580,14539,12488,160237,6287,46063,628770,14816
33,TAMIL NADU,2019,6,70591,3279319,65106,62631,1653715,58909,97464,1503092,59173
34,PUDUCHERRY,2019,6,900,31158,799,1751,101153,2886,5198,97014,2471
35,ANDAMAN AND NICOBAR,2019,6,11,121,4,66,250,26,839,6949,161
36,TELANGANA,2019,6,26246,1061093,21034,24577,513758,20512,50443,735056,26128
37,ANDHRA PRADESH,2019,6,28776,1050266,18022,18078,354183,24435,59598,664078,24796
97,Other Territory,2019,6,3,52,21,20,2141,725,548,7676,1013
1,JAMMU AND KASHMIR,2019,5,4783,170970,2818,2147,31982,2296,18326,194245,5336
2,HIMACHAL PRADESH,2019,5,6971,239401,4706,4828,260065,10235,20243,286996,8429
3,PUNJAB,2019,5,48451,1200305,28446,43283,763866,22026,62100,735600,23877
4,CHANDIGARH,2019,5,2109,28139,393,4824,76879,1352,7928,103980,2155
5,UTTARAKHAND,2019,5,10336,568228,9843,7293,332088,16050,22732,448767,12969
6,HARYANA,2019,5,57773,2432126,43322,52169,2132536,56618,87163,1533082,53805
7,DELHI,2019,5,54438,824361,31533,117873,1657597,37687,110356,1461321,42341
8,RAJASTHAN,2019,5,62522,1436240,29822,45259,1343244,28448,87254,1052502,32854
9,UTTAR PRADESH,2019,5,102085,3209435,63306,67981,1247088,48352,166107,2182701,66320
10,BIHAR,2019,5,6396,360918,7602,6036,57666,2215,53078,697003,14536
11,SIKKIM,2019,5,111,3457,57,156,8618,2184,1589,27452,771
12,ARUNACHAL PRADESH,2019,5,102,2294,31,184,1253,61,2417,24362,393
13,NAGALAND,2019,5,78,1192,59,224,1965,71,2380,22822,487
14,MANIPUR,2019,5,44,3644,60,92,448,13,2392,30018,621
15,MIZORAM,2019,5,14,810,8,101,1367,325,1593,24275,384
16,TRIPURA,2019,5,717,17803,270,308,1984,140,3721,34724,713
17,MEGHALAYA,2019,5,285,11347,200,354,27840,468,3075,35392,748
18,ASSAM,2019,5,10276,400368,7057,8696,166717,5295,24051,281199,9028
19,WEST BENGAL,2019,5,36427,1261827,35664,36898,680482,26914,56444,919665,34629
20,JHARKHAND,2019,5,7986,399634,9242,6992,213054,10998,23458,357370,11129
21,ODISHA,2019,5,10504,587812,12444,4643,197182,16634,26827,352097,13425
22,CHHATTISGARH,2019,5,4865,187299,5099,7169,164764,11204,21427,341890,10483
23,MADHYA PRADESH,2019,5,14643,315137,7327,17983,373897,17088,63231,783053,24428
24,GUJARAT,2019,5,108641,2930529,74907,118247,3839282,88409,115324,1402321,63494
25,DAMAN AND DIU,2019,5,1075,32936,994,1665,184148,4474,2362,74463,5924
26,DADRA AND NAGAR HAVELI,2019,5,1229,51138,1787,1931,244813,9023,2916,110893,7288
27,MAHARASHTRA,2019,5,112814,4583500,114519,99670,3185282,103928,179652,2317015,100462
29,KARNATAKA,2019,5,79281,3075548,53266,42369,1366857,43739,95633,1566166,49784
30,GOA,2019,5,1445,68245,1104,1520,55399,4173,6814,107320,3425
31,LAKSHADWEEP,2019,5,0,0,0,1,1,0,47,364,6
32,KERALA,2019,5,31635,1138183,16527,12774,170678,6532,50005,736040,16251
33,TAMIL NADU,2019,5,71239,3412075,69054,64253,1772068,61396,100735,1619486,59884
34,PUDUCHERRY,2019,5,882,33650,968,2008,109850,3015,5399,101376,2516
35,ANDAMAN AND NICOBAR,2019,5,11,159,6,64,265,30,890,8307,242
36,TELANGANA,2019,5,26151,1086599,21441,25283,542554,21345,52250,827857,28326
37,ANDHRA PRADESH,2019,5,29561,1108792,19385,18620,366112,25138,63500,777373,26290
97,Other Territory,2019,5,3,21,568,20,2391,719,496,7740,994
1,JAMMU AND KASHMIR,2019,4,4434,163532,2659,2108,29425,1958,17798,192097,5164
2,HIMACHAL PRADESH,2019,4,7051,233800,4583,4750,242229,9720,21084,280337,8066
3,PUNJAB,2019,4,49582,1196147,27612,43655,764073,21816,62774,764969,23499
4,CHANDIGARH,2019,4,2120,27823,397,4869,78019,1398,8094,104183,2111
5,UTTARAKHAND,2019,4,10254,534887,9201,7073,302370,15211,22977,422078,12132
6,HARYANA,2019,4,57469,2384441,42718,51739,1998846,54676,87102,1483285,51436
7,DELHI,2019,4,53106,799958,27950,116846,1625244,51303,109592,1467699,41695
8,RAJASTHAN,2019,4,62271,1422441,30249,45224,1307837,28153,88557,1067414,32506
9,UTTAR PRADESH,2019,4,101748,3126383,60659,66690,1208030,45482,167388,2305087,65667
10,BIHAR,2019,4,6303,338831,7113,5959,60442,2261,53655,779530,14433
11,SIKKIM,2019,4,105,3206,56,155,7384,2018,1472,24818,682
12,ARUNACHAL PRADESH,2019,4,96,1899,25,157,1046,61,2324,21904,385
13,NAGALAND,2019,4,61,875,42,221,2646,74,2206,20771,448
14,MANIPUR,2019,4,49,2927,51,86,480,13,2257,24822,575
15,MIZORAM,2019,4,24,897,9,79,544,91,1515,22051,356
16,TRIPURA,2019,4,722,16780,271,302,1562,137,3435,29330,713
17,MEGHALAYA,2019,4,264,11657,180,344,28939,503,2965,31147,708
18,ASSAM,2019,4,10225,381040,6735,8256,145094,4863,22960,256408,8545
19,WEST BENGAL,2019,4,35969,1250449,35140,36589,689069,27091,56187,919611,47138
20,JHARKHAND,2019,4,8145,388604,8741,7134,208033,10996,23419,357384,11202
21,ODISHA,2019,4,11403,641366,12758,5003,193626,17636,27239,351629,13343
22,CHHATTISGARH,2019,4,4959,172001,5099,7158,162553,11010,21666,349936,10182
23,MADHYA PRADESH,2019,4,15347,308282,7626,18020,368248,16982,64995,854387,23457
24,GUJARAT,2019,4,108324,2875155,83070,118615,4146041,85203,114589,1331592,60064
25,DAMAN AND DIU,2019,4,1080,32943,901,1686,182022,4296,2358,72530,4895
26,DADRA AND NAGAR HAVELI,2019,4,1238,51059,1669,1966,254637,8899,2980,109577,7025
27,MAHARASHTRA,2019,4,113342,4431764,110955,99072,3063906,98424,179541,2261121,97363
29,KARNATAKA,2019,4,78494,2797829,49404,41604,1256945,40433,91888,1396675,47164
30,GOA,2019,4,1431,65581,1057,1499,50523,3709,6663,101655,3444
31,LAKSHADWEEP,2019,4,0,0,0,0,0,0,34,346,22
32,KERALA,2019,4,30594,1015788,14919,12127,147558,5673,48400,637756,15224
33,TAMIL NADU,2019,4,71175,3222342,64691,63529,1615664,57884,97295,1479422,58480
34,PUDUCHERRY,2019,4,889,31436,865,1996,99411,2736,5341,95204,2290
35,ANDAMAN AND NICOBAR,2019,4,15,181,5,62,250,22,851,8228,203
36,TELANGANA,2019,4,25954,1011880,20180,25033,499320,20369,50493,755841,25520
37,ANDHRA PRADESH,2019,4,29646,1031976,17724,18351,338813,22973,60943,688686,26094
97,Other Territory,2019,4,5,75,596,21,2422,962,465,7776,1154
1,JAMMU AND KASHMIR,2021,3,5683,202617,3666,2656,36672,2512,20179,247131,6551
2,HIMACHAL PRADESH,2021,3,8548,284126,5948,5472,280227,11895,22050,325421,10349
3,PUNJAB,2021,3,68241,1798071,43957,48638,961181,29242,69773,982474,30943
4,CHANDIGARH,2021,3,2413,27824,520,5191,87496,1785,8399,125220,2814
5,UTTARAKHAND,2021,3,12856,655024,11706,8808,382289,20286,26100,516450,16032
6,HARYANA,2021,3,72420,3017532,57325,62708,3097259,75017,100451,2106422,71428
7,DELHI,2021,3,70210,998692,38263,128140,1788124,46238,121847,1774707,52813
8,RAJASTHAN,2021,3,79836,1831693,44460,52463,1541835,40397,99049,1358089,45735
9,UTTAR PRADESH,2021,3,124275,3711080,80247,82476,1584765,65473,190670,2779950,85329
10,BIHAR,2021,3,8033,487256,10666,7663,85048,3366,60106,899184,19532
11,SIKKIM,2021,3,124,4630,77,191,6188,2560,1737,32748,965
12,ARUNACHAL PRADESH,2021,3,171,3025,83,228,1411,90,2914,34543,784
13,NAGALAND,2021,3,123,2163,92,304,2465,100,2504,31665,690
14,MANIPUR,2021,3,78,5316,100,130,610,42,2669,44462,913
15,MIZORAM,2021,3,72,1137,23,97,724,84,1910,30771,565
16,TRIPURA,2021,3,1290,32044,642,444,2688,334,4441,41451,1054
17,MEGHALAYA,2021,3,344,13701,278,470,39961,841,3486,48623,1122
18,ASSAM,2021,3,12392,496444,9597,9878,209859,6427,26230,366175,11859
19,WEST BENGAL,2021,3,44133,1800108,48491,41189,876065,35359,63420,1208644,42563
20,JHARKHAND,2021,3,10233,537994,12610,8606,256101,15914,27156,483225,14331
21,ODISHA,2021,3,15314,943821,22487,6519,228153,25421,32590,441640,17881
22,CHHATTISGARH,2021,3,5763,246103,8598,8243,176291,16853,23851,433815,14318
23,MADHYA PRADESH,2021,3,19480,592013,13416,21055,460198,22943,73235,1067517,31661
24,GUJARAT,2021,3,145566,4155779,122185,133756,4849922,119989,130837,1783191,85705
25,DAMAN AND DIU,2021,3,0,0,0,2,19,0,8,111,2
26,DADRA AND NAGAR HAVELI,2021,3,2858,124305,4775,3752,437542,17340,5283,194078,13540
27,MAHARASHTRA,2021,3,135147,6070196,157149,110980,4246493,140814,189667,2775870,127504
29,KARNATAKA,2021,3,100148,4267665,74405,50344,1919687,63623,109797,1968949,65313
30,GOA,2021,3,1713,89040,1437,1676,68033,4584,7122,126491,4292
31,LAKSHADWEEP,2021,3,0,0,0,2,3,1,44,658,11
32,KERALA,2021,3,40954,1575834,24149,15338,186938,9393,53710,715877,19738
33,TAMIL NADU,2021,3,88074,4577101,94169,69877,2203082,79408,111355,1976647,80013
34,PUDUCHERRY,2021,3,1057,38676,1005,1990,115096,3519,5206,107548,3025
35,ANDAMAN AND NICOBAR,2021,3,35,954,21,68,239,20,982,10586,262
36,TELANGANA,2021,3,41754,2022232,36454,32209,748152,33068,59772,1204373,41493
37,ANDHRA PRADESH,2021,3,36266,1598686,29045,22352,485783,34685,67854,947697,36901
38,LADAKH,2021,3,23,196,8,13,29,1,320,1982,125
97,Other Territory,2021,3,8,177,355,23,2749,727,232,12222,2394
1,JAMMU AND KASHMIR,2021,2,4843,161736,2783,2322,31973,2228,17867,196177,5360
2,HIMACHAL PRADESH,2021,2,7745,248670,5138,5097,251398,10765,20239,287126,9081
3,PUNJAB,2021,2,63995,1630953,38060,46616,872185,25202,66694,894973,27327
4,CHANDIGARH,2021,2,2175,24017,413,4852,76545,1455,7977,111448,2382
5,UTTARAKHAND,2021,2,11833,588448,10029,8401,345491,16891,24487,476315,14171
6,HARYANA,2021,2,67013,2801348,50650,59465,2883230,67125,96296,1861075,61754
7,DELHI,2021,2,63441,870312,31281,121555,1620707,39985,115851,1574869,46476
8,RAJASTHAN,2021,2,73469,1628379,35102,50228,1375606,34877,95676,1241546,39378
9,UTTAR PRADESH,2021,2,115994,3350746,69419,77894,1464302,55838,180811,2409254,73464
10,BIHAR,2021,2,7446,445357,8578,7140,79337,3006,56191,758456,15743
11,SIKKIM,2021,2,135,4099,63,176,5653,2307,1640,29825,778
12,ARUNACHAL PRADESH,2021,2,144,3082,66,217,1257,80,2671,30844,605
13,NAGALAND,2021,2,106,1486,55,249,2018,75,2429,30280,569
14,MANIPUR,2021,2,75,4824,74,110,590,40,2600,45261,811
15,MIZORAM,2021,2,157,2439,55,94,732,162,1808,29610,528
16,TRIPURA,2021,2,1251,31762,618,411,2434,298,4138,37010,851
17,MEGHALAYA,2021,2,316,11816,241,395,33817,682,3224,40811,878
18,ASSAM,2021,2,11226,442006,7928,9280,193029,5896,24415,337892,10415
19,WEST BENGAL,2021,2,40486,1568460,40731,38568,752693,30134,61036,1120363,37371
20,JHARKHAND,2021,2,9468,474776,10952,8097,231430,12778,25457,421817,12001
21,ODISHA,2021,2,14024,812611,17726,5946,199705,20535,31662,423742,14871
22,CHHATTISGARH,2021,2,5403,247484,7440,8021,172660,14331,23282,407304,12898
23,MADHYA PRADESH,2021,2,17630,533741,11729,20074,419446,20261,70211,935209,27342
24,GUJARAT,2021,2,138439,3830536,106046,129352,4279459,103090,127449,1713483,77701
25,DAMAN AND DIU,2021,2,0,0,0,1,18,0,10,156,2
26,DADRA AND NAGAR HAVELI,2021,2,2752,118991,4401,3633,422567,14984,5134,182890,11769
27,MAHARASHTRA,2021,2,126615,5513536,133997,106065,3766763,118935,187412,2627095,110729
29,KARNATAKA,2021,2,92451,3720424,63001,47075,1730580,52859,104719,1721895,54712
30,GOA,2021,2,1591,74792,1239,1563,59956,3936,6795,104608,3658
31,LAKSHADWEEP,2021,2,0,0,0,2,2,0,42,525,8
32,KERALA,2021,2,38797,1354703,20038,14460,167098,7559,51940,636957,16969
33,TAMIL NADU,2021,2,78829,3990216,77234,65661,1933058,68608,106760,1772980,76934
34,PUDUCHERRY,2021,2,964,33745,777,1800,99460,2901,5097,97149,2552
35,ANDAMAN AND NICOBAR,2021,2,46,796,22,57,270,17,924,9680,231
36,TELANGANA,2021,2,39564,1833801,31252,31413,664165,26964,57967,1031315,34250
37,ANDHRA PRADESH,2021,2,33777,1472786,24961,21183,431023,30017,66086,836365,31010
38,LADAKH,2021,2,15,156,6,11,20,0,145,739,21
97,Other Territory,2021,2,8,100,202,23,2975,853,180,10459,2245
1,JAMMU AND KASHMIR,2021,1,4440,130285,2219,2244,31377,2083,15392,150668,4517
2,HIMACHAL PRADESH,2021,1,7310,235073,5118,4962,260449,11064,18420,274305,9117
3,PUNJAB,2021,1,62491,1572315,37512,45920,835778,24903,64673,834162,26657
4,CHANDIGARH,2021,1,2067,23257,374,4722,73542,1435,7696,105357,2364
5,UTTARAKHAND,2021,1,11683,575397,9935,8222,347057,17405,23364,474102,14292
6,HARYANA,2021,1,64896,2761477,49988,58042,2858019,65738,92758,1786970,61886
7,DELHI,2021,1,61015,820154,29544,116411,1495741,38697,111986,1448838,45573
8,RAJASTHAN,2021,1,72640,1607341,35397,49460,1397702,35122,92881,1241525,39722
9,UTTAR PRADESH,2021,1,112354,3159072,67677,75927,1405878,55211,170365,2257118,72498
10,BIHAR,2021,1,6973,410166,8065,7085,75622,2832,52990,681094,15095
11,SIKKIM,2021,1,130,3802,53,171,5766,2341,1620,28732,859
12,ARUNACHAL PRADESH,2021,1,125,3112,72,186,1258,83,2665,29515,637
13,NAGALAND,2021,1,107,1524,85,262,1819,135,2384,29958,633
14,MANIPUR,2021,1,61,4257,72,114,534,23,2503,43677,718
15,MIZORAM,2021,1,125,2441,38,113,704,114,1787,29407,527
16,TRIPURA,2021,1,1168,30950,586,418,2253,281,4014,37349,836
17,MEGHALAYA,2021,1,320,12739,228,391,32590,645,3168,41968,905
18,ASSAM,2021,1,10885,411005,7477,9094,193920,5903,23445,307959,9951
19,WEST BENGAL,2021,1,39632,1597194,40938,37736,720996,30150,60448,1231824,37374
20,JHARKHAND,2021,1,9097,456629,10359,7816,223232,13584,24468,396171,12061
21,ODISHA,2021,1,13943,862599,18038,5858,235595,22744,31494,421164,15562
22,CHHATTISGARH,2021,1,5310,245130,7449,7964,170980,13906,23118,411949,12709
23,MADHYA PRADESH,2021,1,17326,512303,10776,19759,425069,21048,68098,896327,26393
24,GUJARAT,2021,1,135316,3852947,105089,127861,4134218,104041,127061,1673552,83169
25,DAMAN AND DIU,2021,1,0,0,0,1,23,0,13,177,4
26,DADRA AND NAGAR HAVELI,2021,1,2671,122210,4355,3646,439632,14965,5033,186909,11962
27,MAHARASHTRA,2021,1,124343,5616775,134633,104904,3716118,117335,187740,2724680,111394
29,KARNATAKA,2021,1,91139,3722619,63852,47172,1810483,52506,104026,1727230,54820
30,GOA,2021,1,1536,77429,1298,1515,60450,4269,6779,109222,3980
31,LAKSHADWEEP,2021,1,0,0,0,1,1,0,40,424,15
32,KERALA,2021,1,38235,1419176,21102,14092,160970,7750,51973,655850,17568
33,TAMIL NADU,2021,1,75818,3681282,72595,64551,1823058,65720,104434,1779362,70647
34,PUDUCHERRY,2021,1,918,29695,847,1732,93632,2664,5005,94826,2549
35,ANDAMAN AND NICOBAR,2021,1,20,421,11,41,159,11,893,8386,239
36,TELANGANA,2021,1,38172,1816958,32768,30879,668407,26900,58323,1049577,34779
37,ANDHRA PRADESH,2021,1,32766,1504350,24446,20616,422130,28809,67591,871843,32040
38,LADAKH,2021,1,23,233,8,13,43,4,132,786,20
97,Other Territory,2021,1,6,168,136,23,3545,865,175,9233,1939
1,JAMMU AND KASHMIR,2020,12,4529,150162,2444,2582,35699,2118,17034,177612,5009
2,HIMACHAL PRADESH,2020,12,7312,253829,5064,4927,274409,11418,19498,290115,9396
3,PUNJAB,2020,12,63323,1640332,38332,49011,990017,26338,65315,859229,28316
4,CHANDIGARH,2020,12,2115,23701,374,4769,76132,1430,7676,110405,2420
5,UTTARAKHAND,2020,12,11466,556252,9276,8220,364478,17672,23582,478641,14424
6,HARYANA,2020,12,64881,2675943,49896,58147,2848288,66164,92198,1789221,62262
7,DELHI,2020,12,60878,885959,31978,115897,1564172,39967,111852,1470393,46938
8,RAJASTHAN,2020,12,70811,1632382,35317,48644,1399411,34704,91275,1184439,41238
9,UTTAR PRADESH,2020,12,111593,3237108,67580,75793,1433885,53887,171388,2207593,71322
10,BIHAR,2020,12,6870,446614,8889,6872,76845,2833,52213,606403,15408
11,SIKKIM,2020,12,126,3915,54,176,6680,2827,1584,30919,895
12,ARUNACHAL PRADESH,2020,12,124,2945,57,197,1605,90,2572,29757,670
13,NAGALAND,2020,12,106,1669,53,224,1971,82,2375,32998,590
14,MANIPUR,2020,12,54,4818,69,89,417,20,2444,51729,725
15,MIZORAM,2020,12,142,2223,55,100,1305,288,1664,32490,465
16,TRIPURA,2020,12,1115,28842,554,376,2511,340,4036,40431,865
17,MEGHALAYA,2020,12,303,10994,194,413,28483,612,3158,44747,872
18,ASSAM,2020,12,11002,427306,7850,9081,218963,6683,23246,311818,10452
19,WEST BENGAL,2020,12,39169,1620100,42000,37690,734194,31695,60376,1253408,39396
20,JHARKHAND,2020,12,8875,467558,10667,7770,227625,13852,24520,391434,12497
21,ODISHA,2020,12,13318,807867,16468,5750,259638,22425,30944,415517,15024
22,CHHATTISGARH,2020,12,5235,226973,6859,7717,172242,13707,22748,424078,13891
23,MADHYA PRADESH,2020,12,16602,489886,10613,19920,443516,21341,66836,876992,26546
24,GUJARAT,2020,12,132978,3855526,104513,126002,4048798,105480,127138,1727524,78249
25,DAMAN AND DIU,2020,12,0,0,0,2,24,0,19,143,4
26,DADRA AND NAGAR HAVELI,2020,12,2641,118515,3865,3576,443168,14881,4930,187712,12211
27,MAHARASHTRA,2020,12,122946,5533546,134610,103887,3858729,122604,185819,2790373,112786
29,KARNATAKA,2020,12,89924,3718345,63044,47048,1823862,54927,103192,1768611,56643
30,GOA,2020,12,1510,77165,1281,1561,60902,4443,6726,108773,3805
31,LAKSHADWEEP,2020,12,0,0,0,3,3,0,45,371,10
32,KERALA,2020,12,37196,1384303,21142,13967,162284,8101,50754,639138,17049
